slug,status,organization,code,detail
"sacred-heart-catholic-church-elgin-society-of-st-vincent-de-paul-bastrop","draft","Sacred Heart Catholic Church (Elgin)- Society of St. Vincent De Paul","no_contact_method",""
"dale-mobile-pantry-caldwell","draft","Dale Mobile Pantry","no_contact_method",""
"luling-mobile-food-pantry-caldwell","draft","Luling Mobile Food Pantry","no_contact_method",""
"fayette-county-community-action-food-pantry-fayette","draft","Fayette County Community Action Food Pantry","no_contact_method",""
"san-antonio-food-bank-partner-network-gonzales","draft","San Antonio Food Bank Partner Network","no_contact_method",""
"san-antonio-food-bank-guadalupe","draft","San Antonio Food Bank","no_contact_method",""
"burnet-county-hunger-alliance-burnet","draft","Burnet County Hunger Alliance","no_contact_method",""
"switzer-senior-center-health-and-personal-support-taylor","draft","Switzer Senior Center","draft_missing_source_url",""
"texas-utility-help-housing-and-financial-assistance-williamson","draft","Texas Utility Help","no_contact_method",""
"madella-hilliard-neighborhood-center-housing-and-financial-assistance-georgetown","draft","Madella Hilliard Neighborhood Center","draft_missing_source_url",""
"mortgage-relief-helpline-community-support-williamson","archived","Mortgage Relief Helpline","draft_missing_source_url",""
"debt-relief-hotline-community-support-williamson","draft","Debt Relief Hotline","draft_missing_source_url",""
"free-bankruptcy-advice-community-support-williamson","draft","Free Bankruptcy Advice","draft_missing_source_url",""
"experience-works-work-force-solutions-education-and-employment-williamson","draft","Experience Works: Work Force Solutions","draft_missing_source_url",""
"goodwill-industries-of-ct-round-rock-job-center-education-and-employment-williamson","draft","GoodWill Industries of CT : Round Rock Job Center","no_contact_method",""
"discount-prescription-hotline-health-and-personal-support-williamson","draft","Discount Prescription Hotline","draft_missing_source_url",""
"emancipet-community-support-williamson","draft","Emancipet","in_person_without_address",""
"emancipet-community-support-williamson","draft","Emancipet","service_area_names_city",""
"texas-utiliy-help-housing-and-financial-assistance-bastrop","archived","Texas Utiliy Help","no_contact_method",""
"mortgage-relief-helpline-care-connect-usa-community-support-bastrop","draft","Mortgage Relief Helpline: Care Connect USA","draft_missing_source_url",""
"bastrop-women-s-shelter-housing-and-financial-assistance-bastrop","draft","Bastrop Women's Shelter","no_contact_method",""
"bastrop-women-s-shelter-housing-and-financial-assistance-bastrop","draft","Bastrop Women's Shelter","draft_missing_source_url",""
"comprehensive-energy-assistance-program-housing-and-financial-assistance-caldwell","draft","Comprehensive Energy Assistance Program","draft_missing_source_url",""
"st-vincent-de-paul-housing-and-financial-assistance-caldwell","draft","St. Vincent De Paul","draft_missing_source_url",""
"enrollment-department-call-center-community-support-fayette","draft","Enrollment Department Call Center","draft_missing_source_url",""
"gonzales-christian-assistance-ministry-housing-and-financial-assistance-gonzales","archived","Gonzales Christian Assistance Ministry","draft_missing_source_url",""
"stella-s-house-refuge-community-support-gonzales","draft","Stella's House (Refuge)","draft_missing_source_url",""
"stella-s-house-refuge-community-support-gonzales","draft","Stella's House (Refuge)","draft_missing_last_verified_at",""
"community-council-of-south-central-texas-veterans-financial-assistance-community-support-g","draft","Community Council of South Central Texas - Veterans Financial Assistance","no_contact_method",""
"community-council-of-south-central-texas-veterans-financial-assistance-community-support-g","draft","Community Council of South Central Texas - Veterans Financial Assistance","draft_missing_source_url",""
"st-vincent-de-paul-church-housing-and-financial-assistance-travis","draft","St. Vincent De Paul Church","draft_missing_source_url",""
"all-saints-episcopal-church-housing-and-financial-assistance-travis","draft","All Saints Episcopal Church","draft_missing_source_url",""
"baptist-community-center-housing-and-financial-assistance-travis","draft","Baptist Community Center","no_contact_method",""
"baptist-community-center-housing-and-financial-assistance-travis","draft","Baptist Community Center","draft_missing_source_url",""
"uplift-at-university-presbyterian-church-housing-and-financial-assistance-travis","draft","UpLift at University Presbyterian Church","draft_missing_source_url",""
"st-matthews-episcopal-church-housing-and-financial-assistance-travis","draft","St. Matthews Episcopal Church","draft_missing_source_url",""
"salvation-army-health-and-personal-support-travis","draft","Salvation Army","no_contact_method",""
"hill-country-community-ministries-williamson","archived","Hill Country Community Ministries","no_contact_method",""
"hutto-resource-center-williamson","archived","Hutto Resource Center","no_contact_method",""
